product_name,supplier_name,sku,unit_price
25-30mm Three Points Inside Micrometer,Master 01 Apr,,
30-40mm Three Points Inside Micrometer,Master 01 Apr,,
40-50mm Three Points Inside Micrometer Set,Master 01 Apr,,
6-12mm Three Points Inside Micrometer Set,Master 01 Apr,,
12-20mm Three Points Inside Micrometer Set,Master 01 Apr,,
20-50mm Three Points Inside Micrometer Set,Master 01 Apr,,
50-100mm Three Points Inside Micrometer Set,Master 01 Apr,,
Micrometer Stand,Master 01 Apr,,
25mm Depth Micrometer,Master 01 Apr,,
150mm Metric Depth Micrometer,Master 01 Apr,,
300mm Depth Micrometer,Master 01 Apr,,
25mm Depth Micrometer,Master 01 Apr,,
150mm Depth Micrometer with Captive Anvils,Master 01 Apr,,
0-300mm Depth Micrometer with Captive Anvils,Master 01 Apr,,
USB Data Acquisition Foot Switch,Master 01 Apr,,
5-700mm Digital Radius Gauge,Master 01 Apr,,
15-35mm Internal Dial Gauge,Master 01 Apr,,
35-55mm Internal Dial Gauge,Master 01 Apr,,
50-75mm Internal Dial Gauge,Master 01 Apr,,
75-95mm Internal Dial Gauge,Master 01 Apr,,
95-115mm Internal Dial Caliper Gauge,Master 01 Apr,,
115-135mm Internal Dial Caliper Gauge,Master 01 Apr,,
12.7-165mm Digital Internal Caliper Gauge,Master 01 Apr,,
20mm External Dial Gauge,Master 01 Apr,,
20-40mm External Dial Gauge,Master 01 Apr,,
40-60mm External Dial Gauge,Master 01 Apr,,
25mm Digital Snap Gauge,Master 01 Apr,,
0-12.7mm Digitalstep & Gap Gauge,Master 01 Apr,,
Cylinder Liner Height Guage,Master 01 Apr,,
"Spc Cable, Cable For Height Gages",Master 01 Apr,,
USB Data Acquisition Cable for Height Gauges,Master 01 Apr,,
47 Piece Steel Gauge Blocks Set,Master 01 Apr,,
34 Piece Grade 1 Gauge Block Set,Master 01 Apr,,
47 Piece Grade 1 Gauge Block Set,Master 01 Apr,,
87 Piece Grade 1 Gauge Block Set,Master 01 Apr,,
Caliper Inspection Set (ISO3650),Master 01 Apr,,
150 Micrometer Inspection Gauge Blocks,Master 01 Apr,,
Micrometer Inspection Set - Grade 0 (ISO3650),Master 01 Apr,,
25-50 mm Micrometer Inspection Gauge Blocks,Master 01 Apr,,
0-50mm Holder,Master 01 Apr,,
1.0 - 5.0 mm Pin Gauge Set,Master 01 Apr,,
5.0 - 1.0 mm Pin Gauge Set,Master 01 Apr,,
1-25mm Steel Ball Set,Master 01 Apr,,
M5x0.8 Thread Plug Gauge,Master 01 Apr,,
"1/8"" x 27 Npt Thread Gauge",Master 01 Apr,,
100 x 33 x 52mm V-Blockset,Master 01 Apr,,
500mm Magnalium Straight Edges,Master 01 Apr,,
1000mm Magnalium Straight Edges,Master 01 Apr,,
Frame Level,Master 01 Apr,,
150mm Block Level,Master 01 Apr,,
200mm Block Level,Master 01 Apr,,
300mm Block Level,Master 01 Apr,,
Digital Level,Master 01 Apr,,
Digital Level & Protractor,Master 01 Apr,,
360° (90°x4) Metal Bodied Digital Level,Master 01 Apr,,
600mm Digital level,Master 01 Apr,,
250mm Digital Protractor,Master 01 Apr,,
0-36 Gauge American Standard Wire Gauge,Master 01 Apr,,
0-36 Gauge American Standard Sheet Metal Gauge,Master 01 Apr,,
4-14 mm Fillet Welding Gauge,Master 01 Apr,,
 Welding Gauge,Master 01 Apr,,
 Welding Gauge,Master 01 Apr,,
 Welding Gauge,Master 01 Apr,,
"Wireless Data Transfer System, Single Channel Receiver (With Usb Cable)",Master 01 Apr,,
"Wireless Data Transfer System, Multichannel Receiver",Master 01 Apr,,
800 Series Wireless Data Transfer System,Master 01 Apr,,
800 Series Wireless Data Transfer System,Master 01 Apr,,
800 Series Wireless Data Transfer System,Master 01 Apr,,
800 Series Wireless Data Transfer System,Master 01 Apr,,
180° / 150 mm Protractor,Master 01 Apr,,
0-180° Protractor,Master 01 Apr,,
145 mm / 180° Combination Angle Finder,Master 01 Apr,,
180° Protractor & 150mm Combination Square,Master 01 Apr,,
180° Protractor & 200mm Combination Square,Master 01 Apr,,
180° Protractor & 300mm Combination Square,Master 01 Apr,,
180° Protractor & 500mm Combination Square,Master 01 Apr,,
10-170° Protractor & 150mm Combination Square,Master 01 Apr,,
10-170° Protractor & 300mm Combination Square,Master 01 Apr,,
10-170° Protractor & 600mm Combination Square,Master 01 Apr,,
0-320° Protractor,Master 01 Apr,,
0-360° Universal Protractor,Master 01 Apr,,
360° Universal Protractor,Master 01 Apr,,
Combination Square,Master 01 Apr,,
Combination Square Set,Master 01 Apr,,
Bolt Assembly Combination Square Set,Master 01 Apr,,
Combination Ruler,Master 01 Apr,,
