product_name,unit_price,supplier_name,sku
350x40x127mm REC 1S 200x12mm 38A60JVBE MED/FINE TOOLROOM GRINDING WHEELS TYPE 5 RECESSED 1 SIDE WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,283.73,Norton,
350x40x127mm REC 1S 200x12mm 3SG46GVHP COARSE,634.24,Norton,
350x40x127mm REC 1S 200x12mm SGB60JVH MEDIUM,524.63,Norton,
100x13x19.05mm 38A60KVBE MED/FINE TOOLROOM GRINDING WHEELS TYPE 12 DISH WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,33.42,Norton,
150x13x31.75mm 38A60JVBE MED/FINE TOOLROOM GRINDING WHEELS TYPE 12 DISH WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,46.31,Norton,
150x13x31.75mm SGB60KVH MEDIUM,68.81,Norton,
300x50x76.2mm REC 2S 150x10mm - 53A46H12VBEP MEDIUM TOOLROOM GRINDING WHEELS TYPE 7 RECESSED 2 SIDES WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,339.81,Norton,
300x50x76.2mm REC 2S 150x10mm 3SG46GVHP COARSE,684.79,Norton,
300x50x76.2mm REC 2S 150x10mm NQ46GVHP,719.82,Norton,
300x50x76.2mm REC 2S 150x10mm -SGB46HVHP MEDIUM,565.48,Norton,
350x50x127mm REC 2S 200x12mm 3SG46GVHP,807.91,Norton,
100x50x31.75mm 13mm RIM & BACK 38A46JVBE MEDIUM TOOLROOM GRINDING WHEELS TYPE 6 STRAIGHT CUP WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,47.32,Norton,
100x50x31.75mm 13mm RIM & BACK 38A60JVBE MED/FINE TOOLROOM GRINDING WHEELS TYPE 6 STRAIGHT CUP WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,47.32,Norton,
100x50x31.75mm 13mm RIM & BACK 38A80JVBE FINE TOOLROOM GRINDING WHEELS TYPE 6 STRAIGHT CUP WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,47.32,Norton,
100x50x31.75mm 13mm RIM & BACK NQ54GVSP Quantum,133.62,Norton,
125x40x31.75mm 10mm RIM & BACK 38A46JVBE MEDIUM TOOLROOM GRINDING WHEELS TYPE 6 STRAIGHT CUP WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,53.23,Norton,
125x50x31.75mm 13mm RIM & BACK NQ54FVSP,133.62,Norton,
125x63x31.75mm 13mm RIM 16MM BACK 38A46F12VBEP MEDIUM TOOLROOM GRINDING WHEELS TYPE 6 STRAIGHT CUP WHEELS FOR TOOL STEEL - WHITE ALUMINIUM OXIDE,71.2,Norton,
125x63x31.75mm 13mm RIM 16mm BACK SGB54FVHP MEDIUM,128.26,Norton,
